regulation_source,category,requirement_summary,frequency,applicable_mine_type
"Coal Mines Regulations 2017, Reg 3",Production,"Before starting mining operations, the owner/agent/manager must file an opening notice with the Chief Inspector and Regional Inspector, including a boundary plan and the mine's Safety Management Plan.",Event-based,Both
"Coal Mines Regulations 2017, Reg 4",Production,"Owner/agent/manager must file annual returns for the preceding year with the Chief Inspector, Regional Inspector and District Magistrate by 1 February each year.",Annual,Both
"Coal Mines Regulations 2017, Reg 5",Production,"At least 30 days before abandoning, closing, or discontinuing work at a mine or seam for more than 60 days, the owner/agent/manager must notify the Chief Inspector, Regional Inspector and District Magistrate with reasons and the number of workers affected.",Event-based,Both
"Coal Mines Regulations 2017, Reg 6",Production,"At least 30 days before reopening an abandoned, closed, or long-discontinued mine or seam, the owner/agent/manager must notify the Chief Inspector, Regional Inspector and District Magistrate.",Event-based,Both
"Coal Mines Regulations 2017, Reg 7",Labour,"Any change in mine ownership, or the appointment/termination of an agent, manager, engineer, surveyor, ventilation officer, or safety officer, must be reported to the Chief Inspector and Regional Inspector within 7 days.",Event-based,Both
"Coal Mines Regulations 2017, Reg 8",Safety,"A fatal accident or serious bodily injury, or any of 19 listed dangerous occurrences (explosion, fire, gas inrush, water inrush, pillar/roof failure, winding-gear failure, dump/slope failure, etc.), must be reported to the Regional Inspector immediately and formally within 24 hours, and posted on a mine notice board for at least 14 days.",Event-based,Both
"Coal Mines Regulations 2017, Reg 9",Safety,"If a worker contracts a notified occupational disease, the owner/agent/manager must give notice to the Chief Inspector, Regional Inspector, Inspector of Mines (Medical) and District Magistrate within 3 days of being informed.",Event-based,Both
"Coal Mines Regulations 2017, Reg 10",Labour,"Only persons holding a valid competency certificate issued through the Board of Mining Examination may be appointed as mine manager or to other statutorily certified positions.",Event-based,Both
"Coal Mines Regulations 2017, Chapter V (Reg 37)",Safety,"The mine owner must identify hazards, assess and control risks, provide PPE, maintain a system to track everyone working belowground, investigate every accident/dangerous occurrence, and arrange regular occupational health surveillance for exposed workers.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 38",Safety,"Any designer, manufacturer, importer or supplier of mining machinery, equipment, or substances must ensure they are safe when used correctly and must supply installation, hazard, and risk-control information with them.",Event-based,Both
"Coal Mines Regulations 2017, Reg 39",Labour,"Contractors working in a mine must coordinate with mine supervisors before starting work, report worker injuries/illness/incidents, and provide safety-hazard awareness training to their workers before and during the job.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 104",Safety,"Every mine owner/agent/manager must prepare, implement, and periodically review an auditable Safety Management Plan covering hazard identification, risk elimination/control, standard operating procedures, and worker involvement; a copy must be submitted to the Regional Inspector.",Annual,Both
"Coal Mines Regulations 2017, Reg 105",Safety,"In manual opencast workings, excavation sides in loose ground must be sloped at a safe angle (max ~45 degrees) or benched with bench height capped at 1.5m (or 3m in coal), and no loose material may be left within 3m of an excavation edge.",Event-based,OC
"Coal Mines Regulations 2017, Reg 106",Safety,"Before starting mechanised opencast working, the owner/agent must commission a scientific study on pit slope design, dump slope, and slope-stability monitoring, keep the report on-site, and comply with its recommendations; bench height/width limits are also prescribed by ground type and equipment size.",Event-based,OC
"Coal Mines Regulations 2017, Reg 133",Safety,"Every coal seam must be classified by degree of gassiness by the Chief Inspector; if gas levels rise into a higher gassiness category, the owner/agent/manager must notify the Regional Inspector within 24 hours and observe the precautions for that higher category.",Ongoing,UG
"Coal Mines Regulations 2017, Reg 134",Safety,"Inflammable materials must be stored only in fire-proof receptacles, oily/greasy waste must be regularly removed or safely disposed of, and every mine must have adequate arrangements for early fire detection, control and extinguishing.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 135",Environment,"Combustible or carbonaceous waste, dead vegetation, and heated material/ash must not be dumped or allowed to accumulate near mine entrances or on broken ground; open ground and outcrops must be kept clear as a fire-prevention measure, and entrance areas must be inspected weekly.",Weekly,Both
"Coal Mines Regulations 2017, Reg 153",Safety,"Every mine must maintain adequate belowground ventilation: minimum air supply per worker/tonne of output, oxygen/CO2/inflammable-gas thresholds, and a wet-bulb temperature ceiling; air samples and temperature must be recorded at least every 30 days.",Monthly,UG
"Coal Mines Regulations 2017, Reg 154",Safety,"Every main mechanical ventilator must be installed at least 10m from the shaft/incline opening, have a dual power supply, a continuous pressure-recording instrument, and the ability to reverse airflow when needed.",Ongoing,UG
"Coal Mines Regulations 2017, Reg 155",Safety,"Booster fans may be installed belowground in fiery/gassy seams only after a manager-certified ventilation survey confirms necessity, with 7 days' prior notice to the Regional Inspector.",Event-based,UG
"Coal Mines Regulations 2017, Reg 183",Safety,"Only good-quality, owner-supplied cartridge explosives may be used in a mine (non-cartridge slurry/emulsion/ANFO permitted only in opencast mines); liquid-oxygen explosives are banned outright.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 184-185",Safety,"Explosives may be stored only in a Licensing-Authority-approved magazine, belowground storage additionally needs Chief Inspector approval, and every magazine must be run by a competent person keeping a bound-book record of all explosive issues and returns.",Ongoing,Both
"Coal Mines Regulations 2017, Chapter XV (Reg 208)",Safety,"Certain machinery, equipment and devices (e.g. specified internal-combustion engines) may not be used in coal mines without meeting the type-approval conditions set by the Chief Inspector.",Event-based,Both
"Coal Mines Regulations 2017, Reg 218-219",Environment,"Before exploring for coalbed methane in a working or abandoned mine, the owner must give 6 months' notice with a pre-feasibility report, exploration plan, and equipment/personnel details to the Chief Inspector, and get written approval before starting; all exploratory boreholes must be sealed to prevent gas/liquid leakage.",Event-based,Both
"Coal Mines Regulations 2017, Reg 220",Environment,"Before commencing methane extraction from a working or abandoned mine, the owner must give at least 30 days' written notice to the Chief Inspector and Regional Inspector.",Event-based,Both
"Coal Mines Regulations 2017, Reg 237",Safety,"Every tank, reservoir, or other dangerous place formed by mining operations must be securely fenced, with the fence inspected at least once every 7 days and the inspection logged in a bound book.",Weekly,Both
"Coal Mines Regulations 2017, Reg 239",Safety,"No person may negligently or wilfully do anything that endangers life or limb in the mine, or omit anything necessary for the safety of the mine or its workers.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 240",Labour,"Every worker must be supplied with approved protective footwear free of charge, replaced at least every 6 months, with cleaning facilities provided at the mine.",Ongoing,Both
"Coal Mines Regulations 2017, Reg 241",Labour,"Every worker entering or working in a mine (outside office/canteen/welfare buildings) must wear an approved safety helmet, unless specifically exempted by the Chief Inspector.",Ongoing,Both
